trial_name,agent_level,agent_id,full_sequence,to_fridge_sequence,return_sequence,chosen_plant_spot,audio_sequence,full_sequence_length,to_fridge_sequence_length,return_sequence_length
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 9), (3, 9), (3, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (6, 10), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13), (8, 12), (7, 12), (7, 11), (7, 10), (6, 10), (6, 11), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 9), (3, 9), (3, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (6, 10), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (7, 10), (6, 10), (6, 11), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",None,"[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",46,26,20
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (6, 12), (6, 11), (6, 10), (7, 10), (7, 11), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13), (8, 12), (8, 11), (8, 10), (7, 10), (6, 10), (5, 10), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (6, 12), (6, 11), (6, 10), (7, 10), (7, 11), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (7, 10), (6, 10), (5, 10), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",None,"[22, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",42,22,20
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (7, 10), (7, 11), (6, 11), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (7, 12), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (7, 10), (7, 11), (6, 11), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]",None,"[24, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",50,24,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (2, 10), (2, 11), (3, 11), (4, 11), (4, 10), (5, 10), (6, 10), (7, 10), (7, 11), (6, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (7, 11), (7, 10), (6, 10), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (2, 10), (2, 11), (3, 11), (4, 11), (4, 10), (5, 10), (6, 10), (7, 10), (7, 11), (6, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (7, 11), (7, 10), (6, 10), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",None,"[24, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 24]",48,24,24
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 11), (5, 11), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (7, 10), (7, 11), (8, 11), (8, 12), (7, 12), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (7, 10), (7, 11), (6, 11), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (4, 10), (3, 10), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 11), (5, 11), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (7, 10), (7, 11), (8, 11), (8, 12), (7, 12), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13)]","[(8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (7, 10), (7, 11), (6, 11), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (4, 10), (3, 10), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]",None,"[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 28]",56,28,28
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (5, 10), (4, 10), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13), (7, 13), (7, 12), (6, 12), (5, 12), (5, 11), (6, 11), (7, 11), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (3, 11), (2, 11), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (5, 10), (4, 10), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13)]","[(8, 13), (7, 13), (7, 12), (6, 12), (5, 12), (5, 11), (6, 11), (7, 11), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (3, 11), (2, 11), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]",None,"[24, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",50,24,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (6, 11), (6, 12), (7, 12), (7, 13), (8, 13), (7, 13), (7, 12), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (6, 11), (6, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (7, 13), (7, 12), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]",None,"[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",32,12,20
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (8, 11), (7, 11), (7, 12), (7, 13), (8, 13), (8, 12), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (7, 11), (7, 12), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (3, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (8, 11), (7, 11), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (7, 11), (7, 12), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (3, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]",None,"[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 28]",56,28,28
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 9), (3, 9), (3, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (7, 10), (7, 11), (7, 12), (7, 13), (8, 13), (7, 13), (7, 12), (6, 12), (6, 11), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 9), (3, 9), (3, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (7, 10), (7, 11), (7, 12), (7, 13), (8, 13)]","[(8, 13), (7, 13), (7, 12), (6, 12), (6, 11), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]",None,"[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 12]",40,28,12
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 10), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (6, 12), (7, 12), (7, 13), (8, 13), (8, 12), (7, 12), (6, 12), (6, 11), (7, 11), (7, 10), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (6, 10), (5, 10), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 10), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (6, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (7, 12), (6, 12), (6, 11), (7, 11), (7, 10), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (6, 10), (5, 10), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]",None,"[24, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 28]",52,24,28
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (5, 10), (6, 10), (7, 10), (8, 10), (8, 11), (8, 12), (7, 12), (7, 11), (6, 11), (6, 12), (6, 13), (7, 13), (8, 13), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (5, 10), (6, 10), (7, 10), (8, 10), (8, 11), (8, 12), (7, 12), (7, 11), (6, 11), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",None,"[22, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",42,22,20
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (7, 11), (7, 10), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (7, 11), (7, 10), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]",None,"[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 28]",54,26,28
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (4, 10), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (6, 12), (7, 12), (7, 13), (8, 13), (8, 12), (8, 11), (7, 11), (6, 11), (6, 12), (7, 12), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (4, 10), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (6, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (7, 11), (6, 11), (6, 12), (7, 12), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",None,"[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",52,26,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (2, 10), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (6, 11), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13), (8, 12), (8, 11), (7, 11), (6, 11), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (2, 10), (2, 9), (3, 9), (3, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (2, 10), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (6, 11), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (7, 11), (6, 11), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (2, 10), (2, 9), (3, 9), (3, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]",None,"[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",52,26,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (2, 10), (3, 10), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (7, 10), (8, 10), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13), (8, 12), (7, 12), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (2, 10), (2, 9), (3, 9), (4, 9), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (2, 10), (3, 10), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (7, 10), (8, 10), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (2, 10), (2, 9), (3, 9), (4, 9), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",None,"[24, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 28]",52,24,28
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (8, 12), (7, 12), (6, 12), (6, 13), (7, 13), (8, 13), (8, 12), (7, 12), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9), (2, 9), (2, 10), (3, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (8, 12), (7, 12), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9), (2, 9), (2, 10), (3, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]",None,"[16, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",42,16,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (3, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (6, 10), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13), (8, 12), (7, 12), (6, 12), (6, 11), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (3, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (6, 10), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (6, 12), (6, 11), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]",None,"[24, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 12]",36,24,12
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (7, 11), (7, 10), (8, 10), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (5, 11), (5, 10), (4, 10), (4, 11), (3, 11), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (7, 11), (7, 10), (8, 10), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (5, 11), (5, 10), (4, 10), (4, 11), (3, 11), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",None,"[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 24]",52,28,24
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (6, 9), (7, 9), (7, 10), (7, 11), (6, 11), (6, 12), (6, 13), (7, 13), (7, 12), (8, 12), (8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (5, 11), (5, 10), (4, 10), (3, 10), (3, 11), (2, 11), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (6, 9), (7, 9), (7, 10), (7, 11), (6, 11), (6, 12), (6, 13), (7, 13), (7, 12), (8, 12), (8, 13)]","[(8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (5, 11), (5, 10), (4, 10), (3, 10), (3, 11), (2, 11), (2, 10), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",None,"[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 28]",56,28,28
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (7, 12), (7, 11), (7, 10), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (7, 10), (7, 9), (6, 9), (6, 10), (5, 10), (4, 10), (3, 10), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (7, 12), (7, 11), (7, 10), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (7, 10), (7, 9), (6, 9), (6, 10), (5, 10), (4, 10), (3, 10), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]",None,"[22, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",48,22,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (2, 10), (2, 11), (3, 11), (3, 10), (4, 10), (5, 10), (5, 11), (6, 11), (6, 10), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13), (7, 13), (6, 13), (6, 12), (6, 11), (6, 10), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (2, 10), (2, 11), (3, 11), (3, 10), (4, 10), (5, 10), (5, 11), (6, 11), (6, 10), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (7, 13), (6, 13), (6, 12), (6, 11), (6, 10), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]",None,"[24, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 12]",36,24,12
